,original_summary,token,Porter_Stemmer,WordNet_Lemmatizer
6463,Excellent value!,"['Excellent', 'value', '!']","['excel', 'valu', '!']","['Excellent', 'value', '!']"
6464,"Nice, Relatively Inexpensive Instrument","['Nice', ',', 'Relatively', 'Inexpensive', 'Instrument']","['nice', ',', 'rel', 'inexpens', 'instrument']","['Nice', ',', 'Relatively', 'Inexpensive', 'Instrument']"
6465,Great ukulele for a great price!,"['Great', 'ukulele', 'for', 'a', 'great', 'price', '!']","['great', 'ukulel', 'for', 'a', 'great', 'price', '!']","['Great', 'ukulele', 'for', 'a', 'great', 'price', '!']"
6466,Surprisingly good!,"['Surprisingly', 'good', '!']","['surprisingli', 'good', '!']","['Surprisingly', 'good', '!']"
6467,A lot of sound out of a small container!,"['A', 'lot', 'of', 'sound', 'out', 'of', 'a', 'small', 'container', '!']","['a', 'lot', 'of', 'sound', 'out', 'of', 'a', 'small', 'contain', '!']","['A', 'lot', 'of', 'sound', 'out', 'of', 'a', 'small', 'container', '!']"
6468,Nice starter Ukulele,"['Nice', 'starter', 'Ukulele']","['nice', 'starter', 'ukulel']","['Nice', 'starter', 'Ukulele']"
6469,"Nice, easy to play instrument","['Nice', ',', 'easy', 'to', 'play', 'instrument']","['nice', ',', 'easi', 'to', 'play', 'instrument']","['Nice', ',', 'easy', 'to', 'play', 'instrument']"
6470,this pedal works great,"['this', 'pedal', 'works', 'great']","['thi', 'pedal', 'work', 'great']","['this', 'pedal', 'work', 'great']"
6471,Does the Job!,"['Does', 'the', 'Job', '!']","['doe', 'the', 'job', '!']","['Does', 'the', 'Job', '!']"
6472,Excellent construction and performance,"['Excellent', 'construction', 'and', 'performance']","['excel', 'construct', 'and', 'perform']","['Excellent', 'construction', 'and', 'performance']"
6473,Works Fine,"['Works', 'Fine']","['work', 'fine']","['Works', 'Fine']"
6474,Works like the real thing,"['Works', 'like', 'the', 'real', 'thing']","['work', 'like', 'the', 'real', 'thing']","['Works', 'like', 'the', 'real', 'thing']"
6475,So convenient,"['So', 'convenient']","['so', 'conveni']","['So', 'convenient']"
6476,A tad bit noisy and cheaply made,"['A', 'tad', 'bit', 'noisy', 'and', 'cheaply', 'made']","['a', 'tad', 'bit', 'noisi', 'and', 'cheapli', 'made']","['A', 'tad', 'bit', 'noisy', 'and', 'cheaply', 'made']"
6477,Pretty good for the money,"['Pretty', 'good', 'for', 'the', 'money']","['pretti', 'good', 'for', 'the', 'money']","['Pretty', 'good', 'for', 'the', 'money']"
6478,Great little extra power source for condensor,"['Great', 'little', 'extra', 'power', 'source', 'for', 'condensor']","['great', 'littl', 'extra', 'power', 'sourc', 'for', 'condensor']","['Great', 'little', 'extra', 'power', 'source', 'for', 'condensor']"
6479,Promising--if it works. Not always a guaranteed solution.,"['Promising', '--', 'if', 'it', 'works', '.', 'Not', 'always', 'a', 'guaranteed', 'solution', '.']","['promis', '--', 'if', 'it', 'work', '.', 'not', 'alway', 'a', 'guarante', 'solut', '.']","['Promising', '--', 'if', 'it', 'work', '.', 'Not', 'always', 'a', 'guaranteed', 'solution', '.']"
6480,Works for what it is,"['Works', 'for', 'what', 'it', 'is']","['work', 'for', 'what', 'it', 'is']","['Works', 'for', 'what', 'it', 'is']"
6481,Not bad - worth the price,"['Not', 'bad', '-', 'worth', 'the', 'price']","['not', 'bad', '-', 'worth', 'the', 'price']","['Not', 'bad', '-', 'worth', 'the', 'price']"
6482,great product,"['great', 'product']","['great', 'product']","['great', 'product']"
6483,Good basic protection,"['Good', 'basic', 'protection']","['good', 'basic', 'protect']","['Good', 'basic', 'protection']"
6484,Just fine for the average guitar,"['Just', 'fine', 'for', 'the', 'average', 'guitar']","['just', 'fine', 'for', 'the', 'averag', 'guitar']","['Just', 'fine', 'for', 'the', 'average', 'guitar']"
6485,"Not for expensive guitars, but it works well.","['Not', 'for', 'expensive', 'guitars', ',', 'but', 'it', 'works', 'well', '.']","['not', 'for', 'expens', 'guitar', ',', 'but', 'it', 'work', 'well', '.']","['Not', 'for', 'expensive', 'guitar', ',', 'but', 'it', 'work', 'well', '.']"
6486,Good bag for a non expensive guitar.,"['Good', 'bag', 'for', 'a', 'non', 'expensive', 'guitar', '.']","['good', 'bag', 'for', 'a', 'non', 'expens', 'guitar', '.']","['Good', 'bag', 'for', 'a', 'non', 'expensive', 'guitar', '.']"
6487,Great case at a great price!,"['Great', 'case', 'at', 'a', 'great', 'price', '!']","['great', 'case', 'at', 'a', 'great', 'price', '!']","['Great', 'case', 'at', 'a', 'great', 'price', '!']"
6488,Cool!,"['Cool', '!']","['cool', '!']","['Cool', '!']"
6489,A Great Case,"['A', 'Great', 'Case']","['a', 'great', 'case']","['A', 'Great', 'Case']"
6490,great case,"['great', 'case']","['great', 'case']","['great', 'case']"
6491,Guitar fits like a glove,"['Guitar', 'fits', 'like', 'a', 'glove']","['guitar', 'fit', 'like', 'a', 'glove']","['Guitar', 'fit', 'like', 'a', 'glove']"
6492,Fits with Fender T Bucket,"['Fits', 'with', 'Fender', 'T', 'Bucket']","['fit', 'with', 'fender', 't', 'bucket']","['Fits', 'with', 'Fender', 'T', 'Bucket']"
6493,One of the best capos,"['One', 'of', 'the', 'best', 'capos']","['one', 'of', 'the', 'best', 'capo']","['One', 'of', 'the', 'best', 'capo']"
6494,Fantastic Capo,"['Fantastic', 'Capo']","['fantast', 'capo']","['Fantastic', 'Capo']"
6495,The best capo out there,"['The', 'best', 'capo', 'out', 'there']","['the', 'best', 'capo', 'out', 'there']","['The', 'best', 'capo', 'out', 'there']"
6496,Not Wide Enough,"['Not', 'Wide', 'Enough']","['not', 'wide', 'enough']","['Not', 'Wide', 'Enough']"
6497,Wonderful Capo,"['Wonderful', 'Capo']","['wonder', 'capo']","['Wonderful', 'Capo']"
6498,Great product!!..,"['Great', 'product', '!', '!', '..']","['great', 'product', '!', '!', '..']","['Great', 'product', '!', '!', '..']"
6499,Excellent!,"['Excellent', '!']","['excel', '!']","['Excellent', '!']"
6500,Best Castors and strongest,"['Best', 'Castors', 'and', 'strongest']","['best', 'castor', 'and', 'strongest']","['Best', 'Castors', 'and', 'strongest']"
6501,Ernie Ball Quality,"['Ernie', 'Ball', 'Quality']","['erni', 'ball', 'qualiti']","['Ernie', 'Ball', 'Quality']"
6502,Great Casters....My Back Appreciates Them (For The Most Part),"['Great', 'Casters', '....', 'My', 'Back', 'Appreciates', 'Them', '(', 'For', 'The', 'Most', 'Part', ')']","['great', 'caster', '....', 'my', 'back', 'appreci', 'them', '(', 'for', 'the', 'most', 'part', ')']","['Great', 'Casters', '....', 'My', 'Back', 'Appreciates', 'Them', '(', 'For', 'The', 'Most', 'Part', ')']"
6503,Great deal!,"['Great', 'deal', '!']","['great', 'deal', '!']","['Great', 'deal', '!']"
6504,Works like a charm on my mandolin,"['Works', 'like', 'a', 'charm', 'on', 'my', 'mandolin']","['work', 'like', 'a', 'charm', 'on', 'my', 'mandolin']","['Works', 'like', 'a', 'charm', 'on', 'my', 'mandolin']"
6505,Almost perfect!,"['Almost', 'perfect', '!']","['almost', 'perfect', '!']","['Almost', 'perfect', '!']"
6506,Good Idea to clean Guitar Strings without causing damage.,"['Good', 'Idea', 'to', 'clean', 'Guitar', 'Strings', 'without', 'causing', 'damage', '.']","['good', 'idea', 'to', 'clean', 'guitar', 'string', 'without', 'caus', 'damag', '.']","['Good', 'Idea', 'to', 'clean', 'Guitar', 'Strings', 'without', 'causing', 'damage', '.']"
6507,String Cleaber is great,"['String', 'Cleaber', 'is', 'great']","['string', 'cleaber', 'is', 'great']","['String', 'Cleaber', 'is', 'great']"
6508,Very useful little device,"['Very', 'useful', 'little', 'device']","['veri', 'use', 'littl', 'devic']","['Very', 'useful', 'little', 'device']"
6509,Great idea,"['Great', 'idea']","['great', 'idea']","['Great', 'idea']"
6510,Easy as 1-2-3,"['Easy', 'as', '1-2-3']","['easi', 'as', '1-2-3']","['Easy', 'a', '1-2-3']"
6511,A must have for every guitarist,"['A', 'must', 'have', 'for', 'every', 'guitarist']","['a', 'must', 'have', 'for', 'everi', 'guitarist']","['A', 'must', 'have', 'for', 'every', 'guitarist']"
6512,Like a new set of strings,"['Like', 'a', 'new', 'set', 'of', 'strings']","['like', 'a', 'new', 'set', 'of', 'string']","['Like', 'a', 'new', 'set', 'of', 'string']"
6513,This okay,"['This', 'okay']","['thi', 'okay']","['This', 'okay']"
6514,Not Worth The Money,"['Not', 'Worth', 'The', 'Money']","['not', 'worth', 'the', 'money']","['Not', 'Worth', 'The', 'Money']"
6515,Does its job,"['Does', 'its', 'job']","['doe', 'it', 'job']","['Does', 'it', 'job']"
6516,Does a Good Job... Too Much Money,"['Does', 'a', 'Good', 'Job', '...', 'Too', 'Much', 'Money']","['doe', 'a', 'good', 'job', '...', 'too', 'much', 'money']","['Does', 'a', 'Good', 'Job', '...', 'Too', 'Much', 'Money']"
6517,Gig bag neccessity,"['Gig', 'bag', 'neccessity']","['gig', 'bag', 'neccess']","['Gig', 'bag', 'neccessity']"
6518,String cleaner does the job.,"['String', 'cleaner', 'does', 'the', 'job', '.']","['string', 'cleaner', 'doe', 'the', 'job', '.']","['String', 'cleaner', 'doe', 'the', 'job', '.']"
6519,kinda usless to me,"['kinda', 'usless', 'to', 'me']","['kinda', 'usless', 'to', 'me']","['kinda', 'usless', 'to', 'me']"
6520,"For A Medium Pedal Array, This Is The One To Get","['For', 'A', 'Medium', 'Pedal', 'Array', ',', 'This', 'Is', 'The', 'One', 'To', 'Get']","['for', 'a', 'medium', 'pedal', 'array', ',', 'thi', 'is', 'the', 'one', 'to', 'get']","['For', 'A', 'Medium', 'Pedal', 'Array', ',', 'This', 'Is', 'The', 'One', 'To', 'Get']"
6521,Pedaltrain 2 Pedalboard works for me!,"['Pedaltrain', '2', 'Pedalboard', 'works', 'for', 'me', '!']","['pedaltrain', '2', 'pedalboard', 'work', 'for', 'me', '!']","['Pedaltrain', '2', 'Pedalboard', 'work', 'for', 'me', '!']"
6522,Its a Pedaltrain...,"['Its', 'a', 'Pedaltrain', '...']","['it', 'a', 'pedaltrain', '...']","['Its', 'a', 'Pedaltrain', '...']"
6523,Awesome customer service,"['Awesome', 'customer', 'service']","['awesom', 'custom', 'servic']","['Awesome', 'customer', 'service']"
6524,getting something better than this? u cant!,"['getting', 'something', 'better', 'than', 'this', '?', 'u', 'cant', '!']","['get', 'someth', 'better', 'than', 'thi', '?', 'u', 'cant', '!']","['getting', 'something', 'better', 'than', 'this', '?', 'u', 'cant', '!']"
6525,Perfect....,"['Perfect', '....']","['perfect', '....']","['Perfect', '....']"
6526,Voodoo Lab power supply didn't fit as advertised.,"['Voodoo', 'Lab', 'power', 'supply', 'did', ""n't"", 'fit', 'as', 'advertised', '.']","['voodoo', 'lab', 'power', 'suppli', 'did', ""n't"", 'fit', 'as', 'advertis', '.']","['Voodoo', 'Lab', 'power', 'supply', 'did', ""n't"", 'fit', 'a', 'advertised', '.']"
6527,Great!,"['Great', '!']","['great', '!']","['Great', '!']"
6528,Great size and quality!!,"['Great', 'size', 'and', 'quality', '!', '!']","['great', 'size', 'and', 'qualiti', '!', '!']","['Great', 'size', 'and', 'quality', '!', '!']"
6529,Perfect size,"['Perfect', 'size']","['perfect', 'size']","['Perfect', 'size']"
6530,Great Design!!,"['Great', 'Design', '!', '!']","['great', 'design', '!', '!']","['Great', 'Design', '!', '!']"
6531,Medium results,"['Medium', 'results']","['medium', 'result']","['Medium', 'result']"
6532,Limp,['Limp'],['limp'],['Limp']
6533,Sounds awful - you get what you pay for,"['Sounds', 'awful', '-', 'you', 'get', 'what', 'you', 'pay', 'for']","['sound', 'aw', '-', 'you', 'get', 'what', 'you', 'pay', 'for']","['Sounds', 'awful', '-', 'you', 'get', 'what', 'you', 'pay', 'for']"
6534,Does just what I wanted it to do.,"['Does', 'just', 'what', 'I', 'wanted', 'it', 'to', 'do', '.']","['doe', 'just', 'what', 'i', 'want', 'it', 'to', 'do', '.']","['Does', 'just', 'what', 'I', 'wanted', 'it', 'to', 'do', '.']"
6535,Not the best for this price,"['Not', 'the', 'best', 'for', 'this', 'price']","['not', 'the', 'best', 'for', 'thi', 'price']","['Not', 'the', 'best', 'for', 'this', 'price']"
6536,Average,['Average'],['averag'],['Average']
6537,Decent Reverb For A Great Price,"['Decent', 'Reverb', 'For', 'A', 'Great', 'Price']","['decent', 'reverb', 'for', 'a', 'great', 'price']","['Decent', 'Reverb', 'For', 'A', 'Great', 'Price']"
6538,"faded attack, semi worhless","['faded', 'attack', ',', 'semi', 'worhless']","['fade', 'attack', ',', 'semi', 'worhless']","['faded', 'attack', ',', 'semi', 'worhless']"
6539,"AmPlug, better than low-budget amps!","['AmPlug', ',', 'better', 'than', 'low-budget', 'amps', '!']","['amplug', ',', 'better', 'than', 'low-budget', 'amp', '!']","['AmPlug', ',', 'better', 'than', 'low-budget', 'amp', '!']"
6540,"Wow, wow amazing little gadget!","['Wow', ',', 'wow', 'amazing', 'little', 'gadget', '!']","['wow', ',', 'wow', 'amaz', 'littl', 'gadget', '!']","['Wow', ',', 'wow', 'amazing', 'little', 'gadget', '!']"
6541,Very Nice!,"['Very', 'Nice', '!']","['veri', 'nice', '!']","['Very', 'Nice', '!']"
6542,great for those private moments,"['great', 'for', 'those', 'private', 'moments']","['great', 'for', 'those', 'privat', 'moment']","['great', 'for', 'those', 'private', 'moment']"
6543,Sounds amazing,"['Sounds', 'amazing']","['sound', 'amaz']","['Sounds', 'amazing']"
6544,There are better products available.,"['There', 'are', 'better', 'products', 'available', '.']","['there', 'are', 'better', 'product', 'avail', '.']","['There', 'are', 'better', 'product', 'available', '.']"
6545,great amp,"['great', 'amp']","['great', 'amp']","['great', 'amp']"
6546,Good product,"['Good', 'product']","['good', 'product']","['Good', 'product']"
6547,Small package does the job.,"['Small', 'package', 'does', 'the', 'job', '.']","['small', 'packag', 'doe', 'the', 'job', '.']","['Small', 'package', 'doe', 'the', 'job', '.']"
6548,I can't believe what a good thing this has become in my 'arsenal',"['I', 'ca', ""n't"", 'believe', 'what', 'a', 'good', 'thing', 'this', 'has', 'become', 'in', 'my', ""'arsenal"", ""'""]","['i', 'ca', ""n't"", 'believ', 'what', 'a', 'good', 'thing', 'thi', 'ha', 'becom', 'in', 'my', ""'arsen"", ""'""]","['I', 'ca', ""n't"", 'believe', 'what', 'a', 'good', 'thing', 'this', 'ha', 'become', 'in', 'my', ""'arsenal"", ""'""]"
6549,Oh for better eye sight!,"['Oh', 'for', 'better', 'eye', 'sight', '!']","['oh', 'for', 'better', 'eye', 'sight', '!']","['Oh', 'for', 'better', 'eye', 'sight', '!']"
6550,Handy tool to keep from waking up the family,"['Handy', 'tool', 'to', 'keep', 'from', 'waking', 'up', 'the', 'family']","['handi', 'tool', 'to', 'keep', 'from', 'wake', 'up', 'the', 'famili']","['Handy', 'tool', 'to', 'keep', 'from', 'waking', 'up', 'the', 'family']"
6551,Great sound!!!,"['Great', 'sound', '!', '!', '!']","['great', 'sound', '!', '!', '!']","['Great', 'sound', '!', '!', '!']"
6552,Innovative and useful!,"['Innovative', 'and', 'useful', '!']","['innov', 'and', 'use', '!']","['Innovative', 'and', 'useful', '!']"
6553,Better than sliced bread,"['Better', 'than', 'sliced', 'bread']","['better', 'than', 'slice', 'bread']","['Better', 'than', 'sliced', 'bread']"
6554,I Like This Little Camera Adapter for Mic Stands,"['I', 'Like', 'This', 'Little', 'Camera', 'Adapter', 'for', 'Mic', 'Stands']","['i', 'like', 'thi', 'littl', 'camera', 'adapt', 'for', 'mic', 'stand']","['I', 'Like', 'This', 'Little', 'Camera', 'Adapter', 'for', 'Mic', 'Stands']"
6555,Great item!,"['Great', 'item', '!']","['great', 'item', '!']","['Great', 'item', '!']"
6556,Great product,"['Great', 'product']","['great', 'product']","['Great', 'product']"
6557,Works very well,"['Works', 'very', 'well']","['work', 'veri', 'well']","['Works', 'very', 'well']"
6558,It works.,"['It', 'works', '.']","['it', 'work', '.']","['It', 'work', '.']"
6559,Hold HD Camera and Zoom H4n Well,"['Hold', 'HD', 'Camera', 'and', 'Zoom', 'H4n', 'Well']","['hold', 'hd', 'camera', 'and', 'zoom', 'h4n', 'well']","['Hold', 'HD', 'Camera', 'and', 'Zoom', 'H4n', 'Well']"
6560,Not much help,"['Not', 'much', 'help']","['not', 'much', 'help']","['Not', 'much', 'help']"
6561,Pretty good,"['Pretty', 'good']","['pretti', 'good']","['Pretty', 'good']"
6562,Great,['Great'],['great'],['Great']
6563,Why didn't I think of this,"['Why', 'did', ""n't"", 'I', 'think', 'of', 'this']","['whi', 'did', ""n't"", 'i', 'think', 'of', 'thi']","['Why', 'did', ""n't"", 'I', 'think', 'of', 'this']"
6564,Tortex now these,"['Tortex', 'now', 'these']","['tortex', 'now', 'these']","['Tortex', 'now', 'these']"
6565,Where have these been all my life?,"['Where', 'have', 'these', 'been', 'all', 'my', 'life', '?']","['where', 'have', 'these', 'been', 'all', 'my', 'life', '?']","['Where', 'have', 'these', 'been', 'all', 'my', 'life', '?']"
6566,Next best size in star picks,"['Next', 'best', 'size', 'in', 'star', 'picks']","['next', 'best', 'size', 'in', 'star', 'pick']","['Next', 'best', 'size', 'in', 'star', 'pick']"
6567,BELIEVE THE RATING!  IT'S GREAT!,"['BELIEVE', 'THE', 'RATING', '!', 'IT', ""'S"", 'GREAT', '!']","['believ', 'the', 'rate', '!', 'it', ""'s"", 'great', '!']","['BELIEVE', 'THE', 'RATING', '!', 'IT', ""'S"", 'GREAT', '!']"
6568,Four out of Five Stars,"['Four', 'out', 'of', 'Five', 'Stars']","['four', 'out', 'of', 'five', 'star']","['Four', 'out', 'of', 'Five', 'Stars']"
6569,Does the job,"['Does', 'the', 'job']","['doe', 'the', 'job']","['Does', 'the', 'job']"
6570,Great Neck Cradle,"['Great', 'Neck', 'Cradle']","['great', 'neck', 'cradl']","['Great', 'Neck', 'Cradle']"
6571,Great Product,"['Great', 'Product']","['great', 'product']","['Great', 'Product']"
6572,Great,['Great'],['great'],['Great']
6573,not bad for the price,"['not', 'bad', 'for', 'the', 'price']","['not', 'bad', 'for', 'the', 'price']","['not', 'bad', 'for', 'the', 'price']"
6574,Great vibe pedal,"['Great', 'vibe', 'pedal']","['great', 'vibe', 'pedal']","['Great', 'vibe', 'pedal']"
6575,you get what you play for,"['you', 'get', 'what', 'you', 'play', 'for']","['you', 'get', 'what', 'you', 'play', 'for']","['you', 'get', 'what', 'you', 'play', 'for']"
6576,a GREAT choice for a univibe pedal,"['a', 'GREAT', 'choice', 'for', 'a', 'univibe', 'pedal']","['a', 'great', 'choic', 'for', 'a', 'univib', 'pedal']","['a', 'GREAT', 'choice', 'for', 'a', 'univibe', 'pedal']"
6577,Amazing pedal for the money. Try it!,"['Amazing', 'pedal', 'for', 'the', 'money', '.', 'Try', 'it', '!']","['amaz', 'pedal', 'for', 'the', 'money', '.', 'tri', 'it', '!']","['Amazing', 'pedal', 'for', 'the', 'money', '.', 'Try', 'it', '!']"
6578,Sweet!,"['Sweet', '!']","['sweet', '!']","['Sweet', '!']"
6579,"Good bag for the price, here's what it holds:","['Good', 'bag', 'for', 'the', 'price', ',', 'here', ""'s"", 'what', 'it', 'holds', ':']","['good', 'bag', 'for', 'the', 'price', ',', 'here', ""'s"", 'what', 'it', 'hold', ':']","['Good', 'bag', 'for', 'the', 'price', ',', 'here', ""'s"", 'what', 'it', 'hold', ':']"
6580,great,['great'],['great'],['great']
6581,For light duty and weekend warriors,"['For', 'light', 'duty', 'and', 'weekend', 'warriors']","['for', 'light', 'duti', 'and', 'weekend', 'warrior']","['For', 'light', 'duty', 'and', 'weekend', 'warrior']"
6582,"Well worth $20, simple and sturdy","['Well', 'worth', '$', '20', ',', 'simple', 'and', 'sturdy']","['well', 'worth', '$', '20', ',', 'simpl', 'and', 'sturdi']","['Well', 'worth', '$', '20', ',', 'simple', 'and', 'sturdy']"
6583,Large Bags,"['Large', 'Bags']","['larg', 'bag']","['Large', 'Bags']"
6584,Great for light stands (photo equipment),"['Great', 'for', 'light', 'stands', '(', 'photo', 'equipment', ')']","['great', 'for', 'light', 'stand', '(', 'photo', 'equip', ')']","['Great', 'for', 'light', 'stand', '(', 'photo', 'equipment', ')']"
6585,Great buy,"['Great', 'buy']","['great', 'buy']","['Great', 'buy']"
6586,Excellent tone,"['Excellent', 'tone']","['excel', 'tone']","['Excellent', 'tone']"
6587,An Excellent Practice or Small Gig Amp,"['An', 'Excellent', 'Practice', 'or', 'Small', 'Gig', 'Amp']","['an', 'excel', 'practic', 'or', 'small', 'gig', 'amp']","['An', 'Excellent', 'Practice', 'or', 'Small', 'Gig', 'Amp']"
6588,Great Blues Amp and More,"['Great', 'Blues', 'Amp', 'and', 'More']","['great', 'blue', 'amp', 'and', 'more']","['Great', 'Blues', 'Amp', 'and', 'More']"
6589,Wonderful amp. Too bad it has been dropped from Fender's line!,"['Wonderful', 'amp', '.', 'Too', 'bad', 'it', 'has', 'been', 'dropped', 'from', 'Fender', ""'s"", 'line', '!']","['wonder', 'amp', '.', 'too', 'bad', 'it', 'ha', 'been', 'drop', 'from', 'fender', ""'s"", 'line', '!']","['Wonderful', 'amp', '.', 'Too', 'bad', 'it', 'ha', 'been', 'dropped', 'from', 'Fender', ""'s"", 'line', '!']"
6590,Excellent!,"['Excellent', '!']","['excel', '!']","['Excellent', '!']"
6591,This one's a keeper!,"['This', 'one', ""'s"", 'a', 'keeper', '!']","['thi', 'one', ""'s"", 'a', 'keeper', '!']","['This', 'one', ""'s"", 'a', 'keeper', '!']"
6592,Nice quality,"['Nice', 'quality']","['nice', 'qualiti']","['Nice', 'quality']"
6593,Why spend more money if this gets the job done?,"['Why', 'spend', 'more', 'money', 'if', 'this', 'gets', 'the', 'job', 'done', '?']","['whi', 'spend', 'more', 'money', 'if', 'thi', 'get', 'the', 'job', 'done', '?']","['Why', 'spend', 'more', 'money', 'if', 'this', 'get', 'the', 'job', 'done', '?']"
6594,Great value,"['Great', 'value']","['great', 'valu']","['Great', 'value']"
6595,yep,['yep'],['yep'],['yep']
6596,Perfect patch cable,"['Perfect', 'patch', 'cable']","['perfect', 'patch', 'cabl']","['Perfect', 'patch', 'cable']"
6597,"ordered two of these, one was broken within a week of light use.","['ordered', 'two', 'of', 'these', ',', 'one', 'was', 'broken', 'within', 'a', 'week', 'of', 'light', 'use', '.']","['order', 'two', 'of', 'these', ',', 'one', 'wa', 'broken', 'within', 'a', 'week', 'of', 'light', 'use', '.']","['ordered', 'two', 'of', 'these', ',', 'one', 'wa', 'broken', 'within', 'a', 'week', 'of', 'light', 'use', '.']"
6598,Perfect for connecting devices,"['Perfect', 'for', 'connecting', 'devices']","['perfect', 'for', 'connect', 'devic']","['Perfect', 'for', 'connecting', 'device']"
6599,Dependable cables,"['Dependable', 'cables']","['depend', 'cabl']","['Dependable', 'cable']"
6600,Well done...a little too well done..!,"['Well', 'done', '...', 'a', 'little', 'too', 'well', 'done', '..', '!']","['well', 'done', '...', 'a', 'littl', 'too', 'well', 'done', '..', '!']","['Well', 'done', '...', 'a', 'little', 'too', 'well', 'done', '..', '!']"
6601,"A ""project"" guitar","['A', '``', 'project', ""''"", 'guitar']","['a', '``', 'project', ""''"", 'guitar']","['A', '``', 'project', ""''"", 'guitar']"
6602,Do I expect TOO MUCH?,"['Do', 'I', 'expect', 'TOO', 'MUCH', '?']","['do', 'i', 'expect', 'too', 'much', '?']","['Do', 'I', 'expect', 'TOO', 'MUCH', '?']"
6603,"Love with my ""pinkie""!","['Love', 'with', 'my', '``', 'pinkie', ""''"", '!']","['love', 'with', 'my', '``', 'pinki', ""''"", '!']","['Love', 'with', 'my', '``', 'pinkie', ""''"", '!']"
6604,Hot-rod THIS,"['Hot-rod', 'THIS']","['hot-rod', 'thi']","['Hot-rod', 'THIS']"
6605,Fender wanna B,"['Fender', 'wan', 'na', 'B']","['fender', 'wan', 'na', 'b']","['Fender', 'wan', 'na', 'B']"
6606,Nice guitar for the price,"['Nice', 'guitar', 'for', 'the', 'price']","['nice', 'guitar', 'for', 'the', 'price']","['Nice', 'guitar', 'for', 'the', 'price']"
6607,Great look and play for an intro electric.,"['Great', 'look', 'and', 'play', 'for', 'an', 'intro', 'electric', '.']","['great', 'look', 'and', 'play', 'for', 'an', 'intro', 'electr', '.']","['Great', 'look', 'and', 'play', 'for', 'an', 'intro', 'electric', '.']"
6608,great for beginners,"['great', 'for', 'beginners']","['great', 'for', 'beginn']","['great', 'for', 'beginner']"
6609,Hesitant? Buy it!,"['Hesitant', '?', 'Buy', 'it', '!']","['hesit', '?', 'buy', 'it', '!']","['Hesitant', '?', 'Buy', 'it', '!']"
6610,OK for Price,"['OK', 'for', 'Price']","['ok', 'for', 'price']","['OK', 'for', 'Price']"
6611,This guitar rocks,"['This', 'guitar', 'rocks']","['thi', 'guitar', 'rock']","['This', 'guitar', 'rock']"
6612,Very Good Guitar - To me,"['Very', 'Good', 'Guitar', '-', 'To', 'me']","['veri', 'good', 'guitar', '-', 'to', 'me']","['Very', 'Good', 'Guitar', '-', 'To', 'me']"
6613,Perfect for my needs,"['Perfect', 'for', 'my', 'needs']","['perfect', 'for', 'my', 'need']","['Perfect', 'for', 'my', 'need']"
6614,it works,"['it', 'works']","['it', 'work']","['it', 'work']"
6615,Good cable!,"['Good', 'cable', '!']","['good', 'cabl', '!']","['Good', 'cable', '!']"
6616,Nice cables.  Love those balanced connections.,"['Nice', 'cables', '.', 'Love', 'those', 'balanced', 'connections', '.']","['nice', 'cabl', '.', 'love', 'those', 'balanc', 'connect', '.']","['Nice', 'cable', '.', 'Love', 'those', 'balanced', 'connection', '.']"
6617,It's a cable,"['It', ""'s"", 'a', 'cable']","['it', ""'s"", 'a', 'cabl']","['It', ""'s"", 'a', 'cable']"
6618,Handy short cable,"['Handy', 'short', 'cable']","['handi', 'short', 'cabl']","['Handy', 'short', 'cable']"
6619,What you expect,"['What', 'you', 'expect']","['what', 'you', 'expect']","['What', 'you', 'expect']"
6620,"Again, cords are either 1 or 5, this one is a 5","['Again', ',', 'cords', 'are', 'either', '1', 'or', '5', ',', 'this', 'one', 'is', 'a', '5']","['again', ',', 'cord', 'are', 'either', '1', 'or', '5', ',', 'thi', 'one', 'is', 'a', '5']","['Again', ',', 'cord', 'are', 'either', '1', 'or', '5', ',', 'this', 'one', 'is', 'a', '5']"
6621,Your Cable Store XLR 3 Pin Microphone Cable (6 feet),"['Your', 'Cable', 'Store', 'XLR', '3', 'Pin', 'Microphone', 'Cable', '(', '6', 'feet', ')']","['your', 'cabl', 'store', 'xlr', '3', 'pin', 'microphon', 'cabl', '(', '6', 'feet', ')']","['Your', 'Cable', 'Store', 'XLR', '3', 'Pin', 'Microphone', 'Cable', '(', '6', 'foot', ')']"
6622,Good and inexpensive - Win Win,"['Good', 'and', 'inexpensive', '-', 'Win', 'Win']","['good', 'and', 'inexpens', '-', 'win', 'win']","['Good', 'and', 'inexpensive', '-', 'Win', 'Win']"
6623,"It's a cable , what can you say?","['It', ""'s"", 'a', 'cable', ',', 'what', 'can', 'you', 'say', '?']","['it', ""'s"", 'a', 'cabl', ',', 'what', 'can', 'you', 'say', '?']","['It', ""'s"", 'a', 'cable', ',', 'what', 'can', 'you', 'say', '?']"
6624,Great,['Great'],['great'],['Great']
6625,"Very poor quality, pins were bent","['Very', 'poor', 'quality', ',', 'pins', 'were', 'bent']","['veri', 'poor', 'qualiti', ',', 'pin', 'were', 'bent']","['Very', 'poor', 'quality', ',', 'pin', 'were', 'bent']"
6626,good product,"['good', 'product']","['good', 'product']","['good', 'product']"
